City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Manono,CD,-7.3,27.4167,76.33,55,71,2.95,broken clouds
175,Cherskiy,RU,68.75,161.3,43.68,61,63,5.91,broken clouds
176,Lesnoy,RU,57.6198,63.0784,54.34,94,100,5.23,overcast clouds
177,Darovskoy,RU,58.77,47.9564,55.94,96,95,8.01,overcast clouds
178,Port Lincoln,AU,-34.7333,135.8667,59.4,61,27,8.95,scattered clouds
179,Vila Velha,BR,-20.3297,-40.2925,61.95,90,75,4.61,broken clouds
180,Guerrero Negro,MX,27.9769,-114.0611,73.2,82,7,12.86,clear sky
181,Young,UY,-32.6833,-57.6333,57.45,92,87,7.78,overcast clouds
182,Tucumcari,US,35.1717,-103.725,73.24,68,0,11.5,clear sky
183,Robeasca,RO,45.1667,27.1333,69.94,58,99,12.06,overcast clouds
184,Mahebourg,MU,-20.4081,57.7,62.89,88,20,5.75,few clouds
185,Kavieng,PG,-2.5744,150.7967,85.51,63,73,16.53,broken clouds
186,Thompson,CA,55.7435,-97.8558,47.28,69,15,4.12,few clouds
187,Saint-Pierre,RE,-21.3393,55.4781,67.68,73,100,4.61,overcast clouds
188,Torremolinos,ES,36.6204,-4.4998,79.9,59,0,6.91,clear sky
189,Wanning,CN,18.8003,110.3967,86.14,68,1,0.16,clear sky
190,Portland,US,45.5234,-122.6762,92.77,42,0,4.0,clear sky
191,Jimenez,MX,28.3333,-105.4,68.38,82,100,0.94,overcast clouds
192,Farafangana,MG,-22.8167,47.8333,61.47,61,0,12.53,clear sky
193,Nyurba,RU,63.2842,118.3319,42.71,79,91,3.89,light rain
194,Esperance,AU,-33.8667,121.9,57.65,69,41,6.69,scattered clouds
195,Upernavik,GL,72.7868,-56.1549,39.07,93,100,18.12,light rain
196,Mar Del Plata,AR,-38.0023,-57.5575,55.09,92,100,1.01,overcast clouds
197,Bathsheba,BB,13.2167,-59.5167,79.41,83,20,6.91,few clouds
198,Torit,SS,4.4133,32.5678,66.99,95,100,2.59,light rain
199,Saint-Gaudens,FR,43.0833,0.6667,63.01,91,95,3.49,overcast clouds
200,Sham Churasi,IN,31.4997,75.7494,81.45,79,5,1.52,clear sky
201,Baiyin,CN,36.5583,104.2081,66.67,40,99,7.63,overcast clouds
202,Harper,LR,4.375,-7.7169,74.25,94,100,9.8,moderate rain
203,Tobol,KZ,52.6844,62.5794,69.37,34,88,7.56,overcast clouds
204,Palmas,BR,-10.2128,-48.3603,80.47,36,1,2.3,smoke
205,Oyo,NG,7.85,3.9333,70.45,98,100,4.97,overcast clouds
206,Faya,SA,18.3851,42.4509,61.32,35,12,2.39,few clouds
207,Sao Filipe,CV,14.8961,-24.4956,77.32,86,100,6.71,light rain
