City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
446,Maraba,BR,75.38,mist,-5.3686,-49.1178,Hotel Del Principe
455,Karaton,ID,82.98,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
457,Guymon,US,80.6,clear sky,36.6828,-101.4816,Simple Rewards
465,Cao Bang,VN,81.52,light rain,22.6667,106.25,khách sạn 88
466,Natchez,US,79.02,clear sky,31.5604,-91.4032,Hampton Inn & Suites Natchez
467,Marshall,US,76.37,clear sky,34.3834,-86.3333,Riverview Campground
468,Faanui,PF,78.78,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
470,Trat,TH,85.87,scattered clouds,12.5,102.5,สวนหนิง-อัศ
476,Panaba,MX,76.59,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
477,Union,US,79.11,clear sky,40.6334,-74.2663,Homewood Suites by Hilton Newark-Cranford
481,Salinas,US,81.48,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
483,Kinshasa,CD,78.13,overcast clouds,-4.3246,15.3215,Star Hotel II
489,Godhra,IN,81.75,overcast clouds,22.75,73.6333,OYO 60822 Hotel Athithi
492,Koumac,NC,77.02,overcast clouds,-20.5667,164.2833,Le Monitel
495,Kimbe,PG,87.75,light rain,-5.5502,150.1429,Kimbe Bay Hotel
501,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
503,Gat,IL,79.81,scattered clouds,31.61,34.7642,OlusHome
505,Guanica,PR,80.98,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
511,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
515,Marsa Matruh,EG,75.4,few clouds,31.3525,27.2453,Beau Site
516,Mitsamiouli,KM,75.11,clear sky,-11.3847,43.2844,Foyer ADM
517,San Jose,US,83.12,clear sky,37.3394,-121.895,The Westin San Jose
519,Zahir Pir,PK,83.39,clear sky,28.8124,70.524,The Secret Service Bed and Breakfast
522,Dzaoudzi,YT,75.09,broken clouds,-12.7887,45.2699,Le Rocher
523,Pochutla,MX,82.22,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
526,Moussoro,TD,75.42,light rain,13.6408,16.4901,Pharmacie alnadja Moussoro
528,Jablah,SY,77.65,clear sky,35.3614,35.9256,هوتيل
533,Martapura,ID,86.09,few clouds,-3.4167,114.85,Montana Hotel Syariah
534,Kassala,SD,77.52,broken clouds,15.451,36.4,Amassi Hotel Gash
537,Moranbah,AU,79.34,clear sky,-22.0016,148.0466,Property Vine - Monterey Moranbah
539,Anori,BR,78.46,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
541,Maumere,ID,83.41,broken clouds,-8.6199,122.2111,Sylvia Hotel
542,Tura,IN,78.15,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
544,Ibra,OM,77.97,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
548,Gazanjyk,TM,77.94,clear sky,39.2446,55.5154,Railway motel
554,Yanam,IN,83.37,clear sky,16.7333,82.2167,The Regency Hotel
559,Honiara,SB,83.82,broken clouds,-9.4333,159.95,Heritage Park Hotel
560,Hambantota,LK,77.77,overcast clouds,6.1241,81.1185,Bungalow 63
561,Sur,OM,83.59,clear sky,22.5667,59.5289,Sur Plaza Hotel
562,San Onofre,CO,78.31,overcast clouds,9.7359,-75.5263,Hotel Sinai
570,Mutis,CO,77.58,light rain,6.2262,-77.4044,Paraiso Escondido
